order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
124028,145749,Christopher Benitez,368101,Microwave,Home Appliances,NetBanking,-36,2370.36,2024-07-21 20:13,Canada,Ottawa,www.flipkart.com,d68d08e3,Error,Payment Declined
748487,143308,Trevor Myers,680350,Air Conditioner,Home Appliances,NetBanking,75,1357.02,2024-06-15 08:21,Japan,Kyoto,www.shopify.com,d065c54c,N,Expired Card
454421,765119,Jennifer Wilson,71194,Fiction Novel,Books,CreditCard,82,1768.22,2024-07-01 15:50,Canada,Montreal,www.target.com,e2ccb6e6,N,Transaction Timeout
368113,301412,Daniel Smith,214355,File Folders,Office Supplies,UPI,-55,3407.45,2024-04-03 04:21,India,Mumbai,www.flipkart.com,f7961c25,Unknown,Transaction Timeout
79789,448294,Michael Wilson,351137,Headphones,Electronics,UPI,3,1422.89,2024-09-26 10:42,India,Delhi,www.target.com,5a633962,N,Insufficient Funds
20612,611656,Ashley Mcpherson,827981,Baby Bottles,Baby Products,NetBanking,92,421.03,2024-06-17 18:24,Japan,Yokohama,www.target.com,6b1072e7,N,Expired Card
438932,119846,Carlos Terrell,452672,Diapers,Baby Products,Wallet,84,1540.29,2024-07-31 22:10,India,Delhi,www.target.com,4afb796d,N,Payment Declined
410488,722882,Nichole Smith,168005,Headphones,Electronics,Wallet,53,1181.48,2024-02-09 05:58,Australia,Perth,www.target.com,4070ca41,N,Transaction Timeout
736159,155769,Robert Obrien,635705,Air Conditioner,Home Appliances,CreditCard,19,1352.55,2024-03-29 22:14,Japan,Tokyo,www.bestbuy.com,45b96390,N,Payment Declined
351858,569742,Ashley Arroyo,546969,Smartwatch,Electronics,CreditCard,86,1236.79,2023-12-26 22:12,India,Mumbai,www.flipkart.com,cf6d4fec,Y,
405149,299854,Anthony Phillips,696305,Non-Fiction,Books,CreditCard,96,1794.01,2024-01-05 01:09,Australia,Perth,www.bestbuy.com,2966f103,Y,
616058,445381,Jennifer Morrow,530467,Flip Flops,Footwear,Wallet,96,1528.37,2024-05-10 02:23,Canada,Montreal,www.bestbuy.com,e0cc72a8,N,Transaction Timeout
382051,640376,Daniel Park,490160,Organic Rice,Groceries,UPI,-57,2494.53,2023-10-06 14:03,India,Mumbai,www.walmart.com,3dabfbb7,Error,Insufficient Funds
721961,604183,Colleen Harper,360717,Bluetooth Speaker,Electronics,UPI,14,333.5,2024-07-10 08:16,India,Delhi,www.flipkart.com,6d79d804,Y,
23090,651546,Stephanie York,863145,Boots,Footwear,CreditCard,96,405.15,2023-10-24 04:43,Japan,Sapporo,www.bestbuy.com,098ee639,Y,
296164,296627,Linda Salazar,527033,Running Shoes,Footwear,NetBanking,69,60.21,2024-07-23 18:22,Canada,Toronto,www.target.com,8fb21f60,N,Expired Card
234220,603567,Joseph Keller,884093,Baby Monitor,Baby Products,NetBanking,80,1354.54,2023-12-02 23:40,Japan,Osaka,www.walmart.com,a58d8039,N,Insufficient Funds
24278,331189,Kaylee Krause,752493,Lawn Mower,Garden & Outdoors,UPI,-16,3836.48,2024-08-31 15:15,Japan,Tokyo,www.target.com,90330a2b,Error,Insufficient Funds
451780,878666,Nicholas May,311445,Fiction Novel,Books,UPI,41,1697.57,2024-06-30 07:13,India,Chennai,www.bestbuy.com,f72499f4,Y,
254646,778737,Sherri Gonzales,172789,Stapler,Office Supplies,UPI,-10,3747.0,2024-03-21 00:29,Canada,Ottawa,www.walmart.com,6d335674,Error,Insufficient Funds
870437,227462,Jessica Barker,52738,Smartwatch,Electronics,Wallet,84,229.32,2024-08-16 11:09,India,Mumbai,www.target.com,03f83a5c,N,Transaction Timeout
901704,107128,Kelsey Matthews,47949,Flip Flops,Footwear,CreditCard,72,1338.75,2023-12-14 23:15,Canada,Toronto,www.flipkart.com,5c33dfa7,Y,
371153,362657,Leah Dominguez,539891,Patio Furniture,Garden & Outdoors,Wallet,50,290.67,2024-04-20 16:23,Japan,Kyoto,www.shopify.com,94b85372,N,Expired Card
292400,580854,Geoffrey Miller,192982,Baby Monitor,Baby Products,UPI,26,1664.15,2024-03-20 09:27,Canada,Calgary,www.shopify.com,fc0ace68,N,Payment Declined
691208,143336,Angel Villegas,795770,Patio Furniture,Garden & Outdoors,UPI,56,690.28,2023-12-11 17:07,Canada,Vancouver,www.target.com,242cd50e,N,Expired Card
849204,457170,Amber Schultz,919582,Yoga Mat,Fitness & Sports,NetBanking,56,362.58,2024-04-23 12:24,Australia,Adelaide,www.walmart.com,7c82b39a,Y,
959572,648553,Alex Mitchell,760961,Diapers,Baby Products,CreditCard,81,1231.99,2024-01-22 04:55,Canada,Ottawa,www.flipkart.com,fcc9f09b,N,Payment Declined
270294,859770,Cassandra Lopez,733240,Stapler,Office Supplies,Wallet,86,306.21,2024-07-26 01:10,Canada,Vancouver,www.bestbuy.com,d0d1ef68,N,Payment Declined
214310,467361,Kyle Rice,989502,Non-Fiction,Books,NetBanking,12,1649.02,2024-08-24 15:13,Japan,Osaka,www.bestbuy.com,c9aa2f44,Y,
88292,410867,Devin Hall,595151,Fiction Novel,Books,Wallet,67,155.98,2024-01-29 12:46,Australia,Sydney,www.bestbuy.com,5dc52644,N,Expired Card
188285,376412,Tina Brown,727119,Flip Flops,Footwear,CreditCard,58,501.87,2023-11-09 17:57,Canada,Calgary,www.shopify.com,52a1dec7,Y,
255130,894619,Jennifer Warner,386436,Treadmill,Fitness & Sports,CreditCard,-55,789.8,2024-08-15 21:54,Australia,Sydney,www.target.com,1f6dbd1c,Failure,Insufficient Funds
325498,580313,Marie Cunningham,550618,Jacket,Fashion,Wallet,40,1738.28,2023-11-18 13:04,India,Chennai,www.bestbuy.com,79153782,Y,
571349,338923,Stephanie Alexander,547469,File Folders,Office Supplies,NetBanking,18,410.28,2024-02-04 22:01,Australia,Adelaide,www.shopify.com,22102b34,Y,
709829,898145,Sheryl Harper,95141,Patio Furniture,Garden & Outdoors,CreditCard,72,126.04,2024-02-26 12:33,Japan,Kyoto,www.flipkart.com,3459a14d,N,Transaction Timeout
378873,372710,Michael Turner,713428,Sunglasses,Fashion,Wallet,97,1093.82,2024-06-11 01:55,Japan,Kyoto,www.bestbuy.com,f09c05c3,Y,
977585,109775,Mark Chan,893663,Non-Fiction,Books,UPI,53,919.32,2024-05-16 08:42,India,Chennai,www.walmart.com,069fc80b,N,Payment Declined
