order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
369318,311495,Ashley Edwards,68621,Flip Flops,Footwear,NetBanking,56,186.5,2024-07-15 23:47,Canada,Ottawa,www.target.com,311074f5,Y,
635307,624150,Julie Schultz,235226,Olive Oil,Groceries,CreditCard,66,200.37,2023-12-17 20:24,Australia,Adelaide,www.shopify.com,2750637e,N,Payment Declined
858853,594686,Brian Phillips,27194,Baby Bottles,Baby Products,CreditCard,92,1627.17,2024-10-07 02:35,Australia,Perth,www.bestbuy.com,5ff3764b,N,Transaction Timeout
20256,968275,Michael Ayers,3621,Sunglasses,Fashion,UPI,18,420.73,2024-03-20 19:58,Canada,Montreal,www.flipkart.com,a9fcafd5,N,Expired Card
856284,941112,Ryan Powers,765172,Patio Furniture,Garden & Outdoors,CreditCard,43,1641.51,2024-01-06 12:02,Japan,Kyoto,www.shopify.com,56b8ae7c,Y,
381498,783639,Dylan Morgan,357171,Refrigerator,Home Appliances,Wallet,34,1723.56,2024-06-19 21:31,India,Mumbai,www.flipkart.com,07ba21bd,Y,
133186,789394,John Vega,516112,Handbag,Fashion,CreditCard,87,124.02,2023-10-17 04:58,Japan,Osaka,www.target.com,d898e116,Y,
823845,550358,Miss Laura Hart DDS,626801,Microwave,Home Appliances,NetBanking,-70,2753.88,2023-12-27 12:21,Japan,Yokohama,www.bestbuy.com,3fa39942,Failure,Payment Declined
937689,882898,Dana Estes,970948,Lawn Mower,Garden & Outdoors,Wallet,37,1812.57,2024-09-28 10:21,Australia,Perth,www.flipkart.com,d8701f0c,N,Expired Card
358880,645876,Jason Wood,173372,Fiction Novel,Books,NetBanking,54,815.0,2024-06-11 18:45,Australia,Perth,www.walmart.com,4000a515,Y,
702356,516421,William Guerrero,548702,Organic Rice,Groceries,UPI,-66,2473.77,2024-05-16 12:34,Australia,Brisbane,www.flipkart.com,3b238ad6,Unknown,Payment Declined
212074,647815,Norman Tran,413362,Microwave,Home Appliances,CreditCard,51,813.02,2023-12-03 20:07,Japan,Kyoto,www.walmart.com,691e305b,N,Expired Card
509194,855164,Jessica Patterson,743539,Smartwatch,Electronics,UPI,1,406.27,2024-05-15 10:15,Australia,Adelaide,www.walmart.com,741ba378,N,Payment Declined
455404,191142,Anne Jackson,832584,Boots,Footwear,Wallet,73,300.86,2024-02-20 21:43,Australia,Melbourne,www.shopify.com,e53523c2,Y,
716447,878461,Haley Yang,318016,Washing Machine,Home Appliances,NetBanking,54,338.45,2024-02-03 16:18,Canada,Montreal,www.target.com,29003849,Y,
640709,406391,Joseph Harris,803456,Lawn Mower,Garden & Outdoors,NetBanking,-5,697.37,2024-05-04 05:29,Canada,Ottawa,www.flipkart.com,c5723b05,Failure,Transaction Timeout
823039,51219,Michael Morgan,690009,Formal Shoes,Footwear,NetBanking,72,1500.37,2023-12-01 13:10,Canada,Toronto,www.shopify.com,19024688,Y,
76299,850003,Tracy Boyle,597779,Olive Oil,Groceries,CreditCard,77,792.23,2024-07-30 23:45,Japan,Sapporo,www.bestbuy.com,abf1dd02,N,Expired Card
786368,608909,James Patton,453551,Fitness Tracker,Fitness & Sports,CreditCard,83,988.7,2024-03-07 02:08,India,Delhi,www.bestbuy.com,1c1c9930,N,Transaction Timeout
298013,312514,Margaret Powers,161293,Lawn Mower,Garden & Outdoors,NetBanking,-49,1664.04,2024-01-29 06:58,Japan,Tokyo,www.bestbuy.com,0adea185,Failure,Payment Declined
137793,333073,James Conner,239884,Sunglasses,Fashion,CreditCard,-84,3479.88,2024-03-03 01:30,Canada,Vancouver,www.walmart.com,55506551,Failure,Expired Card
971270,288192,Gina Mccoy,213815,Fitness Tracker,Fitness & Sports,CreditCard,72,141.62,2024-04-21 12:58,India,Hyderabad,www.bestbuy.com,2696597b,Y,
593450,753051,Elizabeth Lewis,929103,Baby Lotion,Baby Products,NetBanking,4,491.7,2024-08-15 20:52,Australia,Adelaide,www.flipkart.com,3bb78a14,Y,
583793,162621,Cynthia Campbell,721662,Handbag,Fashion,CreditCard,3,208.15,2024-05-04 20:26,Japan,Tokyo,www.shopify.com,c1abca2c,Y,
